angle	lam_L	pink_fxi	pink_feta	refl_fxi	refl_feta	blend_fxi	blend_feta	pink_surge_norm	refl_surge_norm	blend_surge_norm
-60.0	2.7043	4395.79	-1111.51	116606.00	-201967.00	116606.00	-201967.00	-0.0427	-1.1314	-1.1314
-60.0	3.0049	2751.93	-1032.48	106102.00	-183773.00	106102.00	-183773.00	-0.0267	-1.0295	-1.0295
-50.0	0.0835	4845.77	537630.00	603392.00	-719093.00	603392.00	-719093.00	-0.0470	-5.8545	-5.8545
-50.0	0.0927	-3517.51	584834.00	600624.00	-715795.00	600624.00	-715795.00	0.0341	-5.8276	-5.8276
-50.0	0.1030	-7078.89	623205.00	597056.00	-711542.00	597056.00	-711542.00	0.0687	-5.7930	-5.7930
-50.0	0.1145	-14530.50	652527.00	592481.00	-706090.00	592481.00	-706090.00	0.1410	-5.7486	-5.7486
-50.0	0.1272	-15318.40	677607.00	586690.00	-699188.00	586690.00	-699188.00	0.1486	-5.6924	-5.6924
-50.0	0.1414	-16813.90	698819.00	579476.00	-690591.00	579476.00	-690591.00	0.1631	-5.6224	-5.6224
-50.0	0.1571	-11156.90	717324.00	570665.00	-680090.00	570665.00	-680090.00	0.1083	-5.5370	-5.5370
-50.0	0.1746	-23147.80	732458.00	560120.00	-667524.00	560120.00	-667524.00	0.2246	-5.4346	-5.4346
-50.0	0.1940	3111.06	749583.00	547766.00	-652802.00	547766.00	-652802.00	-0.0302	-5.3148	-5.3148
-50.0	0.2155	2474.49	760723.00	533591.00	-635908.00	533591.00	-635908.00	-0.0240	-5.1772	-5.1772
-50.0	0.2395	-23525.70	773785.00	517650.00	-616910.00	517650.00	-616910.00	0.2283	-5.0226	-5.0226
-50.0	0.2661	6608.43	778651.00	500058.00	-595945.00	500058.00	-595945.00	-0.0641	-4.8519	-4.8519
-50.0	0.2957	71917.60	771254.00	480993.00	-573224.00	480993.00	-573224.00	-0.6978	-4.6669	-4.6669
-50.0	0.3285	89065.50	766022.00	460671.00	-549005.00	460671.00	-549005.00	-0.8642	-4.4697	-4.4697
-50.0	0.3651	44989.10	782608.00	439338.00	-523582.00	439338.00	-523582.00	-0.4365	-4.2627	-4.2627
-50.0	0.4056	2701.22	808710.00	417263.00	-497274.00	417263.00	-497274.00	-0.0262	-4.0486	-4.0486
-50.0	0.4507	16235.40	789371.00	394712.00	-470398.00	394712.00	-470398.00	-0.1575	-3.8297	-3.8297
-50.0	0.5008	88043.70	673769.00	371949.00	-443271.00	371949.00	-443271.00	-0.8543	-3.6089	-3.6089
-50.0	0.5565	168694.00	486465.00	349221.00	-416185.00	349221.00	-416185.00	-1.6368	-3.3884	-3.3884
-50.0	0.6183	196508.00	323098.00	326751.00	-389406.00	326751.00	-389406.00	-1.9066	-3.1703	-3.1703
-50.0	0.6871	165291.00	217798.00	304737.00	-363170.00	304737.00	-363170.00	-1.6038	-2.9568	-2.9568
-50.0	0.7634	103391.00	141895.00	283344.00	-337675.00	283344.00	-337675.00	-1.0032	-2.7492	-2.7492
-50.0	0.8483	32696.30	74288.20	262707.00	-313082.00	262707.00	-313082.00	-0.3172	-2.5490	-2.5490
-50.0	0.9426	-47990.10	3582.60	242937.00	-289520.00	242937.00	-289520.00	0.4656	-2.3571	-2.3571
-50.0	1.0473	-146275.00	-220499.00	224109.00	-267082.00	224109.00	-267082.00	1.4193	-2.1744	-2.1744
-50.0	1.1638	119711.00	-269839.00	206278.00	-245832.00	206278.00	-245832.00	-1.1615	-2.0014	-2.0014
-50.0	1.2931	97760.80	-20374.10	189476.00	-225808.00	189476.00	-225808.00	-0.9485	-1.8384	-1.8384
-50.0	1.4369	54699.80	-5684.35	173714.00	-207024.00	173714.00	-207024.00	-0.5307	-1.6855	-1.6855
-50.0	1.5966	36060.00	-4423.62	158989.00	-189475.00	158989.00	-189475.00	-0.3499	-1.5426	-1.5426
-50.0	1.7740	23363.50	-4635.48	145282.00	-173141.00	145282.00	-173141.00	-0.2267	-1.4096	-1.4096
-50.0	1.9712	16329.10	-3746.13	132566.00	-157986.00	132566.00	-157986.00	-0.1584	-1.2862	-1.2862
-50.0	2.1903	11489.60	-3052.58	120805.00	-143969.00	120805.00	-143969.00	-0.1115	-1.1721	-1.1721
-50.0	2.4338	7647.10	-2661.80	109955.00	-131039.00	109955.00	-131039.00	-0.0742	-1.0669	-1.0669
-50.0	2.7043	5933.36	-1776.58	99971.90	-119142.00	99971.90	-119142.00	-0.0576	-0.9700	-0.9700
-50.0	3.0049	3606.66	-1645.84	90805.40	-108218.00	90805.40	-108218.00	-0.0350	-0.8811	-0.8811
-40.0	0.0835	15550.10	228522.00	516233.00	-433170.00	516233.00	-433170.00	-0.1509	-5.0088	-5.0088
-40.0	0.0927	9548.13	279290.00	511241.00	-428982.00	511241.00	-428982.00	-0.0926	-4.9604	-4.9604
-40.0	0.1030	5206.98	321419.00	505049.00	-423786.00	505049.00	-423786.00	-0.0505	-4.9003	-4.9003
-40.0	0.1145	-1252.53	356348.00	497517.00	-417465.00	497517.00	-417465.00	0.0122	-4.8272	-4.8272
-40.0	0.1272	-3517.00	385636.00	488544.00	-409937.00	488544.00	-409937.00	0.0341	-4.7402	-4.7402
-40.0	0.1414	-1595.05	411310.00	478068.00	-401146.00	478068.00	-401146.00	0.0155	-4.6385	-4.6385
-40.0	0.1571	-8834.34	431725.00	466080.00	-391087.00	466080.00	-391087.00	0.0857	-4.5222	-4.5222
-40.0	0.1746	2184.88	450988.00	452615.00	-379788.00	452615.00	-379788.00	-0.0212	-4.3916	-4.3916
-40.0	0.1940	-5254.56	465478.00	437761.00	-367325.00	437761.00	-367325.00	0.0510	-4.2474	-4.2474
-40.0	0.2155	-4879.97	477978.00	421650.00	-353806.00	421650.00	-353806.00	0.0473	-4.0911	-4.0911
-40.0	0.2395	28689.10	487517.00	404451.00	-339374.00	404451.00	-339374.00	-0.2784	-3.9242	-3.9242
-40.0	0.2661	3778.80	499814.00	386355.00	-324189.00	386355.00	-324189.00	-0.0367	-3.7487	-3.7487
-40.0	0.2957	-22430.40	507257.00	367577.00	-308433.00	367577.00	-308433.00	0.2176	-3.5665	-3.5665
-40.0	0.3285	27427.10	492430.00	348335.00	-292287.00	348335.00	-292287.00	-0.2661	-3.3798	-3.3798
-40.0	0.3651	92292.10	471730.00	328844.00	-275933.00	328844.00	-275933.00	-0.8955	-3.1907	-3.1907
-40.0	0.4056	100637.00	490414.00	309314.00	-259545.00	309314.00	-259545.00	-0.9764	-3.0012	-3.0012
-40.0	0.4507	71325.20	551376.00	289934.00	-243283.00	289934.00	-243283.00	-0.6920	-2.8131	-2.8131
-40.0	0.5008	60763.00	572240.00	270877.00	-227293.00	270877.00	-227293.00	-0.5896	-2.6282	-2.6282
-40.0	0.5565	83964.80	484870.00	252291.00	-211697.00	252291.00	-211697.00	-0.8147	-2.4479	-2.4479
-40.0	0.6183	108105.00	339965.00	234302.00	-196602.00	234302.00	-196602.00	-1.0489	-2.2733	-2.2733
-40.0	0.6871	107085.00	209598.00	217008.00	-182091.00	217008.00	-182091.00	-1.0390	-2.1055	-2.1055
-40.0	0.7634	81627.80	105985.00	200487.00	-168229.00	200487.00	-168229.00	-0.7920	-1.9453	-1.9453
-40.0	0.8483	39828.10	17389.00	184794.00	-155061.00	184794.00	-155061.00	-0.3864	-1.7930	-1.7930
-40.0	0.9426	-22156.30	-86633.50	169965.00	-142618.00	169965.00	-142618.00	0.2150	-1.6491	-1.6491
-40.0	1.0473	3483.04	-319580.00	156018.00	-130914.00	3483.04	-319580.00	-0.0338	-1.5138	-0.0338
-40.0	1.1638	154103.00	36132.70	142955.00	-119953.00	142955.00	-119953.00	-1.4952	-1.3870	-1.3870
-40.0	1.2931	81081.10	21670.80	130769.00	-109728.00	130769.00	-109728.00	-0.7867	-1.2688	-1.2688
-40.0	1.4369	48492.70	4630.40	119439.00	-100221.00	119439.00	-100221.00	-0.4705	-1.1589	-1.1589
-40.0	1.5966	33260.60	-1859.95	108940.00	-91411.70	108940.00	-91411.70	-0.3227	-1.0570	-1.0570
-40.0	1.7740	21818.20	-4774.51	99238.40	-83270.80	99238.40	-83270.80	-0.2117	-0.9629	-0.9629
-40.0	1.9712	16295.30	-4442.52	90296.10	-75767.40	90296.10	-75767.40	-0.1581	-0.8761	-0.8761
-40.0	2.1903	11394.40	-4012.32	82073.80	-68868.00	82073.80	-68868.00	-0.1106	-0.7963	-0.7963
-40.0	2.4338	8040.82	-3291.58	74528.90	-62537.10	74528.90	-62537.10	-0.0780	-0.7231	-0.7231
-40.0	2.7043	6103.94	-2457.26	67619.20	-56739.20	67619.20	-56739.20	-0.0592	-0.6561	-0.6561
-40.0	3.0049	3894.46	-1994.61	61302.00	-51438.40	61302.00	-51438.40	-0.0378	-0.5948	-0.5948
-30.0	0.0835	11637.50	17207.20	358450.00	-206951.00	358450.00	-206951.00	-0.1129	-3.4779	-3.4779
-30.0	0.0927	7475.13	65343.60	350796.00	-202532.00	350796.00	-202532.00	-0.0725	-3.4036	-3.4036
-30.0	0.1030	4470.76	105924.00	342135.00	-197531.00	342135.00	-197531.00	-0.0434	-3.3196	-3.3196
-30.0	0.1145	1392.80	139771.00	332494.00	-191965.00	332494.00	-191965.00	-0.0135	-3.2261	-3.2261
-30.0	0.1272	-2555.95	167719.00	321937.00	-185870.00	321937.00	-185870.00	0.0248	-3.1236	-3.1236
-30.0	0.1414	-948.72	191063.00	310541.00	-179291.00	310541.00	-179291.00	0.0092	-3.0131	-3.0131
-30.0	0.1571	-948.41	210211.00	298411.00	-172288.00	298411.00	-172288.00	0.0092	-2.8954	-2.8954
-30.0	0.1746	-4761.61	225091.00	285660.00	-164926.00	285660.00	-164926.00	0.0462	-2.7717	-2.7717
-30.0	0.1940	2207.19	237749.00	272417.00	-157280.00	272417.00	-157280.00	-0.0214	-2.6432	-2.6432
-30.0	0.2155	1812.20	247654.00	258819.00	-149429.00	258819.00	-149429.00	-0.0176	-2.5112	-2.5112
-30.0	0.2395	-10519.20	254562.00	245002.00	-141452.00	245002.00	-141452.00	0.1021	-2.3772	-2.3772
-30.0	0.2661	29031.80	259749.00	231100.00	-133426.00	231100.00	-133426.00	-0.2817	-2.2423	-2.2423
-30.0	0.2957	14890.90	271376.00	217244.00	-125426.00	217244.00	-125426.00	-0.1445	-2.1078	-2.1078
-30.0	0.3285	-29330.20	280480.00	203550.00	-117520.00	203550.00	-117520.00	0.2846	-1.9750	-1.9750
-30.0	0.3651	-1575.65	264875.00	190125.00	-109769.00	190125.00	-109769.00	0.0153	-1.8447	-1.8447
